county,date,icu_avail,icu_total,med_avail,med_total,ped_avail,ped_total,pic_avail,pic_total,covid_patients,covid_vents,vents_use,vents,icu_avail_mean,icu_total_mean,med_avail_mean,med_total_mean,ped_avail_mean,ped_total_mean,pic_avail_mean,pic_total_mean,covid_patients_mean,covid_vents_mean,vents_use_mean,vents_mean,icu_percent,med_percent,ped_percent,pic_percent,covid_icu,covid_icu_mean,county_fips,latitude,longitude
Lycoming,2020-04-01T00:00:00Z,15,54,126,187,5,5,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8,67.4,100,NA,NA,NA,42081,41.34459792,-77.06942457
Montgomery,2020-04-01T00:00:00Z,120,287,538,1348,31,35,0,0,129,41,90,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.8,39.9,88.6,NA,NA,NA,42091,40.20989874,-75.37252001
Lancaster,2020-04-01T00:00:00Z,20,81,252,517,25,28,0,0,22,6,23,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7,48.7,89.3,NA,NA,NA,42071,40.04590796,-76.25138768
Montour,2020-04-01T00:00:00Z,23,86,71,267,14,36,4,14,7,0,28,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7,26.6,38.9,28.6,NA,NA,42093,41.02801824,-76.66470527
Lehigh,2020-04-01T00:00:00Z,61,195,480,1092,34,68,7,10,64,34,86,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.3,44,50,70,NA,NA,42077,40.61464794,-75.60099481
Perry,2020-04-01T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42099,40.40415317,-77.25907385
Schuylkill,2020-04-01T00:00:00Z,4,16,56,123,5,9,0,0,0,0,4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,45.5,55.6,NA,NA,NA,42107,40.70751243,-76.22332385
Philadelphia,2020-04-01T00:00:00Z,165,701,1241,3269,49,52,43,237,303,82,388,1185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,38,94.2,18.1,NA,NA,42101,40.00444354,-75.140236
Potter,2020-04-01T00:00:00Z,5,6,28,33,3,0,0,0,0,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.3,84.8,NA,NA,NA,NA,42105,41.74420644,-77.89879229
Somerset,2020-04-01T00:00:00Z,10,30,106,68,0,0,0,0,1,0,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,155.9,NA,NA,NA,NA,42111,39.97146299,-79.03100206
Pike,2020-04-01T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42103,41.332572,-75.03270924
Northumberland,2020-04-01T00:00:00Z,3,7,24,40,0,0,0,0,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.9,60,NA,NA,NA,NA,42097,40.85150926,-76.71188423
Snyder,2020-04-01T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42109,40.77113737,-77.07255968
Venango,2020-04-01T00:00:00Z,21,45,37,58,0,0,0,0,3,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.7,63.8,NA,NA,NA,NA,42121,41.40341259,-79.76286561
Warren,2020-04-01T00:00:00Z,0,6,5,24,0,0,0,0,0,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20.8,NA,NA,NA,NA,42123,41.81675237,-79.27858158
Westmoreland,2020-04-01T00:00:00Z,13,39,191,327,0,0,0,0,8,1,18,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,58.4,NA,NA,NA,NA,42129,40.310315,-79.47134118
Wayne,2020-04-01T00:00:00Z,7,8,7,23,5,5,0,0,3,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,30.4,100,NA,NA,NA,42127,41.64969805,-75.3051535
Sullivan,2020-04-01T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42113,41.4480994,-76.5147922
Susquehanna,2020-04-01T00:00:00Z,0,0,21,46,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.7,NA,NA,NA,NA,42115,41.8205686,-75.80250303
Union,2020-04-01T00:00:00Z,7,11,31,62,7,8,0,0,0,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.6,50,87.5,NA,NA,NA,42119,40.96473131,-77.06415803
Tioga,2020-04-01T00:00:00Z,0,6,22,35,0,0,0,0,0,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,62.9,NA,NA,NA,NA,42117,41.77333834,-77.25788076
Wyoming,2020-04-01T00:00:00Z,5,6,36,38,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.3,94.7,NA,NA,NA,NA,42131,41.51892488,-76.01813003
Washington,2020-04-01T00:00:00Z,13,34,172,307,0,0,0,0,4,2,12,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.2,56,NA,NA,NA,NA,42125,40.19109663,-80.25180083
