player,position,age,team,games,games_started,minutes_played,field_goals,field_goal_attempts,three_pointers,three_point_attempts,two_pointers,two_point_attempts,free_throws,free_throw_attempts,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
Julius Randle,PF,27,NYK,72,72,2544,512,1246,120,390,392,856,303,401,125,591,370,53,39,245,205
Austin Reaves,SG,23,LAL,61,19,1418,146,318,53,167,93,151,99,118,45,148,110,29,20,40,87
Cam Reddish,SF,22,ATL,34,7,797,138,343,58,153,80,190,72,80,20,64,38,35,11,44,45
Cam Reddish,SF,22,NYK,15,0,215,27,65,8,31,19,34,29,32,5,16,10,12,4,13,15
Davon Reed,SG,26,DEN,48,5,668,81,161,37,86,44,75,10,15,14,94,53,24,9,16,63
Paul Reed,C,22,PHI,38,2,302,54,96,2,8,52,88,6,14,44,48,16,33,14,10,57
Naz Reid,C,22,MIN,77,6,1215,233,476,57,166,176,310,114,149,102,199,71,40,71,82,172
Nick Richards,C,24,CHO,50,5,367,60,90,0,0,60,90,30,43,34,52,13,9,21,24,51
Josh Richardson,SG,28,BOS,44,0,1087,152,343,62,156,90,187,61,71,26,99,66,34,23,39,82
Josh Richardson,SG,28,SAS,21,7,513,82,191,40,90,42,101,35,37,16,44,49,22,6,27,34
Austin Rivers,SG,29,DEN,67,18,1480,146,350,79,231,67,119,32,44,19,95,90,51,6,54,121
Duncan Robinson,SG,27,MIA,79,68,2043,290,726,232,624,58,102,51,61,24,179,129,42,14,60,201
Justin Robinson,PG,24,MIL,17,0,198,18,57,10,37,8,20,2,2,2,11,21,8,0,11,17
Justin Robinson,PG,24,SAC,3,0,15,1,8,0,3,1,5,0,0,0,1,2,0,0,1,2
Justin Robinson,PG,24,DET,5,0,91,9,28,8,21,1,7,2,6,2,5,9,1,1,5,8
Mitchell Robinson,C,23,NYK,72,62,1848,261,343,0,0,261,343,88,181,295,322,38,58,133,60,195
Jeremiah Robinson-Earl,C,21,OKC,49,36,1087,134,324,58,165,76,159,40,54,75,199,49,29,15,39,75
Isaiah Roby,PF,23,OKC,45,28,948,166,323,44,99,122,224,78,116,75,142,71,36,34,43,109
Rajon Rondo,PG,35,LAL,18,0,289,23,71,8,30,15,41,1,2,10,39,67,12,5,34,25
Rajon Rondo,PG,35,CLE,21,1,408,45,105,23,58,22,47,18,24,5,54,103,18,1,34,31
Derrick Rose,PG,33,NYK,26,4,636,122,274,37,92,85,182,30,31,21,57,103,22,12,39,15
Terrence Ross,SG,30,ORL,63,0,1448,220,554,77,264,143,290,112,130,20,141,116,28,12,75,68
Terry Rozier,SG,27,CHO,73,73,2458,518,1167,222,593,296,574,150,176,56,259,326,93,25,96,119
Ricky Rubio,PG,31,CLE,34,8,970,149,411,59,174,90,237,88,103,15,126,225,49,7,90,75
D'Angelo Russell,PG,25,MIN,65,65,2077,401,975,176,518,225,457,198,240,25,191,460,62,22,165,130
Matt Ryan,SF,24,BOS,1,0,5,1,5,1,5,0,0,0,0,0,0,0,1,0,0,0
Domantas Sabonis,C,25,IND,47,46,1632,331,571,35,108,296,463,191,258,155,412,236,46,22,143,146
Domantas Sabonis,PF,25,SAC,15,15,504,112,202,4,17,108,185,55,74,46,139,87,13,5,52,57
Olivier Sarr,C,22,OKC,22,2,421,58,101,13,29,45,72,24,29,34,59,19,6,15,22,52
Tomáš Satoranský,SG,30,NOP,32,3,481,32,107,5,31,27,76,19,25,18,46,76,14,1,23,33
Tomáš Satoranský,SG,30,SAS,1,0,9,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0
Tomáš Satoranský,SG,30,WAS,22,10,416,40,84,6,22,34,62,21,25,9,52,108,15,4,23,38
Jordan Schakel,SG,23,WAS,4,0,30,1,11,1,6,0,5,2,2,2,6,0,1,0,1,0
Admiral Schofield,SF,24,ORL,38,1,469,54,129,26,79,28,50,12,15,17,72,25,4,5,21,58
Dennis Schröder,SG,28,BOS,49,25,1433,257,584,67,192,190,392,123,145,28,136,208,41,5,104,116
Dennis Schröder,PG,28,HOU,15,4,404,55,140,19,58,36,82,34,39,6,44,88,12,3,39,38
Tre Scott,SF,25,CLE,2,0,11,3,6,0,1,3,5,0,0,1,1,0,1,1,0,2
Jay Scrubb,SG,21,LAC,18,0,121,18,46,6,21,12,25,7,10,2,14,8,4,3,7,9
Wayne Selden,SG,27,NYK,3,0,19,1,4,1,2,0,2,2,4,0,1,1,0,0,0,1
Alperen Şengün,C,19,HOU,72,13,1489,249,525,29,117,220,408,165,232,138,255,185,59,68,145,214
Collin Sexton,SG,23,CLE,11,11,316,68,151,11,45,57,106,29,39,13,23,23,10,0,31,25
Landry Shamet,SG,24,PHO,69,14,1437,191,485,123,334,68,151,68,81,16,110,108,28,9,41,92
Day'Ron Sharpe,PF,20,BRK,32,8,391,86,149,2,7,84,142,24,41,81,79,17,10,15,30,60
Pascal Siakam,PF,27,TOR,68,68,2578,596,1207,75,218,521,989,284,379,128,452,360,85,42,181,225
Chris Silva,PF,25,MIN,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Chris Silva,PF,25,MIA,9,0,88,8,15,0,0,8,15,10,12,13,22,7,0,1,8,20
Marko Simonovic,C,22,CHI,9,0,35,4,15,1,5,3,10,8,11,5,5,0,1,1,2,6
Anfernee Simons,SG,22,POR,57,30,1681,353,797,179,442,174,355,103,116,26,125,221,30,6,115,110
Zavier Simpson,PG,24,OKC,4,4,174,19,52,1,8,18,44,5,5,2,19,30,5,4,10,15
Jericho Sims,PF,23,NYK,41,5,555,39,54,0,0,39,54,12,29,61,108,21,11,22,20,66
Deividas Sirvydis,SG,21,DET,3,0,27,1,10,1,7,0,3,0,0,0,6,1,3,1,0,4
