shot_x,shot_y,shot_distance,shot_type,scoring_play,score_value
-4,9,9.848857801796104,Driving Floating Jump Shot,FALSE,0
3,24,24.186773244895647,Jump Shot,FALSE,0
2,16,16.1245154965971,Jump Shot,FALSE,0
-14,19,23.600847442411894,Running Pullup Jump Shot,FALSE,0
-12,21,24.186773244895647,Pullup Jump Shot,TRUE,3
-3,5,5.830951894845301,Pullup Bank Jump Shot,TRUE,2
-15,8,17,Pullup Jump Shot,FALSE,0
-18,16,24.08318915758459,Jump Shot,TRUE,3
-4,3,5,Driving Layup Shot,TRUE,2
-5,3,5.830951894845301,Driving Floating Jump Shot,FALSE,0
-5,16,16.76305461424021,Pullup Jump Shot,FALSE,0
3,2,3.605551275463989,Driving Layup Shot,FALSE,0
3,2,3.605551275463989,Driving Layup Shot,TRUE,2
0,7,7,Driving Floating Jump Shot,FALSE,0
-13,21,24.698178070456937,Pullup Jump Shot,FALSE,0
12,24,26.832815729997478,Pullup Jump Shot,TRUE,3
-5,3,5.830951894845301,Driving Layup Shot,TRUE,2
-6,9,10.816653826391969,Pullup Jump Shot,FALSE,0
-3,0,3,Driving Layup Shot,FALSE,0
-10,24,26,Jump Shot,FALSE,0
0,12,12,Turnaround Jump Shot,TRUE,2
18,18,25.45584412271571,Jump Shot,FALSE,0
8,13,15.264337522473747,Jump Shot,FALSE,0
0,3,3,Driving Layup Shot,FALSE,0
2,-2,2.8284271247461903,Layup Shot,FALSE,0
2,5,5.385164807134504,Driving Floating Jump Shot,FALSE,0
2,1,2.23606797749979,Driving Layup Shot,TRUE,2
-1,2,2.23606797749979,Layup Shot,FALSE,0
-3,2,3.605551275463989,Layup Shot,FALSE,0
-14,21,25.238858928247925,Jump Shot,FALSE,0
-2,25,25.079872407968907,Pullup Jump Shot,FALSE,0
10,24,26,Step Back Jump Shot,TRUE,3
-2,3,3.605551275463989,Layup Driving Reverse,TRUE,2
-11,22,24.596747752497688,Pullup Jump Shot,TRUE,3
1,2,2.23606797749979,Running Layup Shot,FALSE,0
-5,12,13,Pullup Jump Shot,FALSE,0
-13,9,15.811388300841896,Pullup Jump Shot,TRUE,2
23,8,24.351591323771842,Jump Shot,FALSE,0
9,24,25.632011235952593,Jump Shot,TRUE,3
-2,16,16.1245154965971,Driving Floating Jump Shot,FALSE,0
-14,20,24.413111231467404,Pullup Jump Shot,TRUE,3
17,18,24.758836806279895,Pullup Jump Shot,FALSE,0
-14,5,14.866068747318506,Pullup Jump Shot,FALSE,0
