is_hr,launch_angle,launch_speed,bat_speed,swing_length,plate_x,plate_z,inning,balls,strikes,is_stand_left,is_throw_left
0,-23,91.5,71.99735308475557,7.29604,0.34,1.81,5,2,2,0,1
0,40,89.9,78.9653316678888,6.37255,-0.13,3.05,5,1,1,0,0
1,27,101.7,73.05331569321146,6.81269,0.21,2.73,5,3,2,1,0
0,16,99.3,72.50339610072243,7.57905,0.53,2,5,2,1,0,0
0,-26,61.9,71.60968032220951,7.89841,1.16,2.2,4,0,2,0,0
0,6,103.8,71.9276160900303,6.86218,-0.5,2.5,4,2,2,1,0
0,71,80.1,63.49829567180136,7.41201,0.56,2.78,4,3,1,0,0
1,36,96.2,70.85480789147749,6.89182,-0.32,2.87,4,0,0,0,0
0,-25,96,76.22370882422092,7.60168,0.1,2.06,4,2,0,0,0
0,-48,72.8,79.81676299602306,7.89191,0.79,2.21,4,1,1,0,0
0,-23,85.6,73.3239711984763,6.35392,0.52,2.89,3,2,2,1,0
0,-21,84.9,74.70692319543512,7.37206,-0.53,2.25,3,0,0,1,0
0,39,79.1,68.34554849730482,6.88261,0.34,2.67,3,1,2,0,0
0,39,91.6,69.76729832773263,8.18374,-0.23,2.34,3,0,0,1,0
0,8,106.4,75.8565515931816,7.0571,0.93,2.92,3,0,2,0,0
0,-1,84.4,71.36400201572448,7.8158,0.96,2.85,2,0,0,0,0
0,-3,73.8,83.09252154768562,8.34959,0.03,1.61,2,0,0,0,0
0,27,90.4,70.05331532849485,5.76958,-0.37,3.07,2,1,2,1,0
0,7,105.4,74.28459978890004,7.31355,-0.49,2.25,2,0,0,0,0
0,-7,92.3,65.53022494335566,6.68579,-0.13,3.1,2,3,1,1,0
0,-3,68.6,69.94911395849347,7.48596,0.6,3.09,1,0,2,0,0
0,-4,90.7,72.9867389572086,6.3278,0.98,2.96,1,3,1,1,0
0,47,94.8,74.89422618413853,7.55773,0.72,2.65,1,1,2,1,0
0,55,84.3,68.83210339288625,7.40187,0.35,2.02,1,0,2,0,0
0,1,109,75.80190073873172,7.18238,0.68,2.64,1,0,2,0,0
0,49,90.7,71.33868897185329,6.64877,-0.48,3.23,1,0,0,1,0
0,33,104,78.6469397201781,7.80679,-0.49,2.22,9,0,0,0,0
0,2,103.5,72.02976564087773,7.27158,0.55,2.43,9,2,2,0,0
0,11,97.5,67.14243643334638,7.02076,0.11,2.11,9,1,0,1,0
0,17,69.2,72.99344031087276,7.43144,0.83,1.47,9,2,2,0,0
0,-16,105.2,69.94363745511644,6.59873,-0.49,2.05,9,0,0,0,0
0,-7,103.5,76.64116208903947,7.09759,-0.75,2.53,9,1,0,0,0
0,7,102.5,71.50112242999074,6.49074,-0.27,2.13,9,1,2,0,0
0,0,87.3,65.18203998687099,5.86963,0.38,3.04,9,1,2,1,0
1,28,104.4,70.27701724253477,7.25502,0.27,3.26,9,0,1,0,0
0,1,99.7,71.4898015070229,7.81894,0.38,2.08,9,0,0,0,0
0,15,83.8,72.3639172048686,7.35283,0.58,1.9,9,1,0,1,0
0,-39,54.5,76.97749376666633,7.58778,0.21,1.67,9,2,2,0,0
0,3,106.7,72.9323145121137,7.32548,0.24,2.01,8,0,1,0,1
0,-12,84.5,66.1241300835348,5.91874,-0.73,3.04,8,0,2,0,1
0,13,110.9,75.56616044858738,7.52063,0,3.46,8,1,1,0,0
0,17,87.8,61.38092391698392,5.41072,-1.01,2.71,8,2,1,1,0
0,10,105,71.15920258088443,7.08239,-0.22,2.69,8,3,2,0,0
0,17,95.5,67.98680878565547,6.52796,-0.01,2.68,8,2,2,0,0
0,20,77.7,67.12438196483374,8.48837,0.01,0.74,8,3,2,0,0
0,18,83.2,60.07258015777985,5.91885,0.56,1.36,8,0,2,1,0
0,24,96.8,66.0538968117796,7.09488,0.18,2.01,7,3,2,1,1
0,48,97.2,79.62375561769552,8.25945,-0.29,2.01,7,0,2,0,1
0,53,75.8,67.55712965064855,7.2148,-0.08,2.05,7,0,2,0,1
0,-16,101.5,71.24459034467742,7.00124,-0.24,1.96,7,1,0,0,0
0,7,96.2,65.07881458442635,6.71212,-0.32,2.67,7,3,2,0,1
0,77,66,75.96672486587612,8.31606,0.06,2.1,6,0,0,1,0
0,33,101.8,69.44358368598905,7.34724,0.57,3.58,6,0,0,0,0
0,41,90.2,73.47346053400962,6.94836,-0.47,2.57,6,3,1,1,0
0,13,92.6,68.72542723218969,7.84416,0.69,1.6,6,3,2,0,0
0,1,104.5,70.7848406826608,6.43859,0.33,3.67,6,1,2,0,0
0,48,69.5,68.15368441224946,7.83661,-0.43,1.81,6,1,0,1,1
0,21,110,75.80660280442903,7.53737,0.6,2.56,6,0,1,0,0
0,29,98.3,66.84682831102359,8.2438,1.02,2.04,6,0,0,0,0
0,32,81.2,69.50712669684576,6.27856,-0.31,3.5,5,1,2,1,0
0,51,83.3,72.70999814571226,8.82339,-0.56,1.9,5,2,1,1,0
0,-72,57.8,63.09494944298006,8.30922,0.53,2.86,5,0,1,0,0
0,8,82.3,58.8711055929108,8.30493,-0.15,1.01,5,3,2,1,0
0,58,97.6,70.05109891753543,7.38792,0.58,3.05,5,2,0,1,0
0,79,83.3,75.6125638429065,7.45857,-0.05,3.42,5,3,1,0,0
0,66,64.4,56.650134606892586,8.22877,1.12,1.61,4,0,2,0,0
0,21,92.5,68.04250809186175,7.02349,-0.15,2.77,4,2,1,1,0
0,-20,101.3,73.68395617689067,6.46901,0.37,3.02,4,3,2,0,0
0,23,91.5,68.96213820971248,6.73608,0.1,2.57,4,0,2,1,0
0,45,93.8,74.02121675298694,7.17673,-0.24,2.15,4,2,1,1,0
0,0,108.3,80.12624443266066,7.84163,0.62,2.89,4,0,0,0,0
0,16,91.4,68.67950341515943,7.87832,0.39,1.58,3,0,2,0,0
0,4,99.8,77.82430419044141,7.30875,-0.42,2.37,3,3,2,0,0
0,12,95.9,65.90139264479107,6.04804,0.43,2.07,3,0,0,1,0
0,82,73.4,64.31942685396687,6.40255,-0.18,3.44,3,3,2,0,0
0,32,93.4,65.99904648538673,6.90882,0.8,2.26,2,3,2,1,0
0,15,88.4,69.84039365523553,8.60719,0.75,2.23,2,1,0,0,0
0,30,95.9,70.8157511908234,7.01309,-0.74,3.31,2,0,1,1,0
0,3,110.3,76.18198965890585,7.78171,0.13,1.85,2,2,2,0,0
0,50,65.4,75.63048083383795,8.54522,0.25,1.68,1,0,1,1,0
0,30,107.2,70.19766435893261,7.25323,-0.1,2.72,1,1,1,0,0
0,5,87.6,82.66337388580695,8.25431,-0.74,2.2,1,1,0,1,0
0,-22,94.6,76.91966176667064,7.00318,-0.02,3.27,1,3,2,0,0
0,-1,90,65.11189788143496,6.38362,-1.21,2.79,1,1,2,1,0
0,16,106.2,71.64899864188838,6.79406,0.38,3.25,9,1,1,0,1
0,12,62.5,64.40587632119724,7.50337,0.09,1.37,9,0,1,0,1
0,8,92.5,65.01125774889432,6.77519,0.52,2.35,9,0,0,1,1
0,-2,97,76.4397445020637,6.98069,0.83,2.38,9,1,0,1,0
0,24,67.5,73.73592049781817,7.29797,-0.29,2.41,8,2,1,0,0
0,24,93.4,69.53081261217807,7.06575,-0.3,1.73,8,1,1,1,0
0,-60,52.8,63.34625660521,6.10269,0.33,2.03,8,1,1,0,0
0,1,70.2,70.7534999402751,6.89031,-0.48,2.56,8,3,2,0,0
0,-17,93.8,73.53385914970309,6.5027,-0.14,2.69,8,2,1,0,0
0,-4,55.8,75.71771248577255,7.27171,0.3,2.54,7,2,2,1,0
0,40,108.5,76.05058223205494,7.43372,-0.23,2.69,7,0,1,0,0
0,39,97.7,67.65231386953312,7.36779,-0.52,2.28,7,2,2,0,0
0,38,100.5,75.68368224077955,7.60315,0.15,2.59,7,3,1,0,1
