county,date,cases,cases_avg_new,cases_cume,cases_rate,cases_avg_new_rate,cases_cume_rate,deaths,deaths_avg_new,deaths_cume,population,deaths_rate,deaths_avg_new_rate,deaths_cume_rate,longitude,latitude
Fulton,2020-04-03T00:00:00Z,0,0,0,0,0,0,0,0,0,14530,0,0,0,-78.11485045,39.92487511
Greene,2020-04-03T00:00:00Z,1,0.9,12,2.8,2.4,33.1,0,0,0,36233,0,0,0,-80.22943817,39.85480393
Potter,2020-04-03T00:00:00Z,1,0.1,3,6.1,0.9,18.2,0,0,0,16526,0,0,0,-77.89879229,41.74420644
Luzerne,2020-04-03T00:00:00Z,160,82.9,646,50.4,26.1,203.5,1,0.4,5,317417,0.32,0.14,1.58,-75.9919961,41.17836439
Philadelphia,2020-04-03T00:00:00Z,409,273.4,2705,25.8,17.3,170.8,15,7.3,59,1584064,0.95,0.46,3.72,-75.140236,40.00444354
Montgomery,2020-04-03T00:00:00Z,113,81.4,982,13.6,9.8,118.2,3,1.7,18,830915,0.36,0.21,2.17,-75.37252001,40.20989874
Mifflin,2020-04-03T00:00:00Z,2,0.6,4,4.3,1.2,8.7,0,0,0,46138,0,0,0,-77.62003089,40.61274928
Lackawanna,2020-04-03T00:00:00Z,27,13.7,148,12.9,6.5,70.6,1,0.3,4,209674,0.48,0.14,1.91,-75.61218345,41.43910064
Lebanon,2020-04-03T00:00:00Z,34,10.3,88,24,7.3,62.1,0,0,0,141793,0,0,0,-76.46182575,40.367597
Indiana,2020-04-03T00:00:00Z,2,1,9,2.4,1.2,10.7,0,0,0,84073,0,0,0,-79.09333493,40.65295497
Montour,2020-04-03T00:00:00Z,2,1.7,16,11,9.4,87.8,0,0,0,18230,0,0,0,-76.66470527,41.02801824
Northampton,2020-04-03T00:00:00Z,125,71,592,40.9,23.3,193.9,2,1.3,14,305285,0.66,0.42,4.59,-75.31263726,40.7545954
Schuylkill,2020-04-03T00:00:00Z,17,9.1,80,12,6.5,56.6,0,0,0,141359,0,0,0,-76.22332385,40.70751243
Northumberland,2020-04-03T00:00:00Z,1,1.3,10,1.1,1.4,11,0,0,0,90843,0,0,0,-76.71188423,40.85150926
Somerset,2020-04-03T00:00:00Z,0,0.1,3,0,0.2,4.1,0,0,0,73447,0,0,0,-79.03100206,39.97146299
York,2020-04-03T00:00:00Z,24,15.9,147,5.3,3.5,32.7,0,0.1,1,449058,0,0.03,0.22,-76.72576052,39.92192531
Snyder,2020-04-03T00:00:00Z,3,0.7,7,7.4,1.8,17.3,0,0,0,40372,0,0,0,-77.07255968,40.77113737
Union,2020-04-03T00:00:00Z,1,0.6,4,2.2,1.3,8.9,0,0,0,44923,0,0,0,-77.06415803,40.96473131
Susquehanna,2020-04-03T00:00:00Z,1,0.6,5,2.5,1.4,12.4,0,0,0,40328,0,0,0,-75.80250303,41.8205686
Wyoming,2020-04-03T00:00:00Z,3,0.7,5,11.2,2.7,18.7,0,0,0,26794,0,0,0,-76.01813003,41.51892488
Westmoreland,2020-04-03T00:00:00Z,25,13.3,134,7.2,3.8,38.4,0,0,0,348899,0,0,0,-79.47134118,40.310315
Washington,2020-04-03T00:00:00Z,6,3,46,2.9,1.5,22.2,0,0,0,206865,0,0,0,-80.25180083,40.19109663
